label,placebo_n,placebo_pct,placebo_ae,xanomeline_ld_n,xanomeline_ld_pct,xanomeline_ld_ae,xanomeline_hd_n,xanomeline_hd_pct,xanomeline_hd_ae,fisher_placebo_v_xanomeline_ld,fisher_placebo_v_xanomeline_hd
"  VIRAL INFECTION",0,,,1,1.2,1,0,,,0.494,
,,,,,,,,,,,
"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",4,4.7,9,5,6.0,12,5,6.0,8,0.745,0.745
"  CONTUSION",1,1.2,1,1,1.2,3,2,2.4,3,0.999,0.618
"  HIP FRACTURE",1,1.2,2,0,,,2,2.4,2,0.999,0.618
"  EXCORIATION",2,2.3,3,1,1.2,2,1,1.2,1,0.999,0.999
"  FACIAL BONES FRACTURE",0,,,0,,,1,1.2,1,,0.494
"  FALL",1,1.2,2,2,2.4,2,1,1.2,1,0.618,0.999
"  JOINT DISLOCATION",0,,,1,1.2,1,0,,,0.494,
"  SKIN LACERATION",1,1.2,1,2,2.4,2,0,,,0.618,0.999
"  WOUND",0,,,1,1.2,2,0,,,0.494,
,,,,,,,,,,,
"INVESTIGATIONS",10,11.6,19,6,7.1,7,6,7.1,8,0.432,0.432
"  BIOPSY",0,,,0,,,1,1.2,1,,0.494
"  BIOPSY PROSTATE",0,,,0,,,1,1.2,1,,0.494
"  BLOOD CHOLESTEROL INCREASED",0,,,0,,,1,1.2,1,,0.494
"  BLOOD GLUCOSE INCREASED",0,,,1,1.2,1,1,1.2,2,0.494,0.494
"  ELECTROCARDIOGRAM T WAVE INVERSION",2,2.3,3,1,1.2,1,1,1.2,1,0.999,0.999
"  WEIGHT DECREASED",0,,,0,,,1,1.2,2,,0.494
"  BLOOD ALKALINE PHOSPHATASE INCREASED",1,1.2,1,0,,,0,,,0.999,0.999
"  BLOOD CREATINE PHOSPHOKINASE INCREASED",1,1.2,2,0,,,0,,,0.999,0.999
"  BLOOD URINE PRESENT",1,1.2,1,0,,,0,,,0.999,0.999
"  BODY TEMPERATURE INCREASED",0,,,1,1.2,1,0,,,0.494,
"  CYSTOSCOPY",1,1.2,1,0,,,0,,,0.999,0.999
"  ELECTROCARDIOGRAM ST SEGMENT DEPRESSION",4,4.7,4,1,1.2,2,0,,,0.368,0.121
"  ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED",1,1.2,1,1,1.2,1,0,,,0.999,0.999
"  HEART RATE INCREASED",1,1.2,2,0,,,0,,,0.999,0.999
"  HEART RATE IRREGULAR",1,1.2,4,0,,,0,,,0.999,0.999
"  NASAL MUCOSA BIOPSY",0,,,1,1.2,1,0,,,0.494,
,,,,,,,,,,,
"METABOLISM AND NUTRITION DISORDERS",6,7.0,8,1,1.2,1,2,2.4,4,0.117,0.278
"  DECREASED APPETITE",1,1.2,2,0,,,1,1.2,2,0.999,0.999
"  INCREASED APPETITE",1,1.2,2,0,,,1,1.2,2,0.999,0.999
"  DEHYDRATION",1,1.2,1,0,,,0,,,0.999,0.999
"  DIABETES MELLITUS",1,1.2,1,0,,,0,,,0.999,0.999
"  FOOD CRAVING",1,1.2,1,1,1.2,1,0,,,0.999,0.999
"  HYPONATRAEMIA",1,1.2,1,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS",4,4.7,6,7,8.3,10,7,8.3,10,0.367,0.367
"  BACK PAIN",1,1.2,2,1,1.2,1,3,3.6,4,0.999,0.365
"  ARTHRALGIA",1,1.2,1,2,2.4,4,1,1.2,1,0.618,0.999
"  ARTHRITIS",0,,,0,,,1,1.2,1,,0.494
"  FLANK PAIN",0,,,0,,,1,1.2,1,,0.494
"  MUSCLE SPASMS",0,,,1,1.2,1,1,1.2,2,0.494,0.494
"  MYALGIA",0,,,0,,,1,1.2,1,,0.494
"  MUSCULAR WEAKNESS",0,,,1,1.2,2,0,,,0.494,
"  PAIN IN EXTREMITY",1,1.2,1,0,,,0,,,0.999,0.999
"  SHOULDER PAIN",1,1.2,2,2,2.4,2,0,,,0.618,0.999
,,,,,,,,,,,
"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",0,,,2,2.4,3,1,1.2,1,0.243,0.494
"  PROSTATE CANCER",0,,,0,,,1,1.2,1,,0.494
"  COLON CANCER",0,,,1,1.2,1,0,,,0.494,
"  MALIGNANT FIBROUS HISTIOCYTOMA",0,,,1,1.2,2,0,,,0.494,
,,,,,,,,,,,
"NERVOUS SYSTEM DISORDERS",8,9.3,11,20,23.8,40,25,29.8,41,0.013,0.001
"  DIZZINESS",2,2.3,3,8,9.5,13,11,13.1,15,0.056,0.009
"  HEADACHE",3,3.5,3,3,3.6,4,5,6.0,8,0.999,0.493
"  SYNCOPE",0,,,4,4.8,6,3,3.6,4,0.057,0.118
"  BURNING SENSATION",0,,,0,,,2,2.4,2,,0.243
"  AMNESIA",0,,,0,,,1,1.2,2,,0.494
"  COGNITIVE DISORDER",0,,,0,,,1,1.2,1,,0.494
"  HYPERSOMNIA",0,,,0,,,1,1.2,1,,0.494
"  LETHARGY",0,,,1,1.2,1,1,1.2,1,0.494,0.494
"  PARAESTHESIA",0,,,0,,,1,1.2,1,,0.494
"  PAROSMIA",0,,,0,,,1,1.2,2,,0.494
"  PARTIAL SEIZURES WITH SECONDARY GENERALISATION",0,,,0,,,1,1.2,1,,0.494
"  SOMNOLENCE",2,2.3,3,3,3.6,5,1,1.2,1,0.680,0.999
"  SYNCOPE VASOVAGAL",0,,,0,,,1,1.2,1,,0.494
"  TRANSIENT ISCHAEMIC ATTACK",0,,,2,2.4,3,1,1.2,1,0.243,0.494
"  BALANCE DISORDER",0,,,1,1.2,3,0,,,0.494,
"  COMPLEX PARTIAL SEIZURES",0,,,1,1.2,1,0,,,0.494,
"  COORDINATION ABNORMAL",0,,,1,1.2,1,0,,,0.494,
"  HEMIANOPIA HOMONYMOUS",0,,,1,1.2,1,0,,,0.494,
"  PARAESTHESIA ORAL",0,,,1,1.2,1,0,,,0.494,
"  PARKINSON'S DISEASE",1,1.2,1,0,,,0,,,0.999,0.999
"  PSYCHOMOTOR HYPERACTIVITY",1,1.2,1,0,,,0,,,0.999,0.999
"  STUPOR",0,,,1,1.2,1,0,,,0.494,
,,,,,,,,,,,
"PSYCHIATRIC DISORDERS",10,11.6,12,10,11.9,14,8,9.5,11,0.999,0.804
"  INSOMNIA",2,2.3,3,0,,,2,2.4,2,0.497,0.999
"  AGITATION",2,2.3,2,2,2.4,2,1,1.2,1,0.999,0.999
"  CONFUSIONAL STATE",2,2.3,2,3,3.6,3,1,1.2,1,0.680,0.999
"  DELIRIUM",0,,,0,,,1,1.2,1,,0.494
"  DELUSION",1,1.2,1,0,,,1,1.2,1,0.999,0.999
"  HALLUCINATION",0,,,0,,,1,1.2,1,,0.494
"  HALLUCINATION, VISUAL",0,,,0,,,1,1.2,1,,0.494
"  LIBIDO DECREASED",0,,,0,,,1,1.2,1,,0.494
"  LISTLESS",0,,,0,,,1,1.2,1,,0.494
"  NIGHTMARE",0,,,0,,,1,1.2,1,,0.494
"  ANXIETY",0,,,3,3.6,4,0,,,0.118,
"  COMPLETED SUICIDE",1,1.2,1,0,,,0,,,0.999,0.999
"  DEPRESSED MOOD",0,,,1,1.2,2,0,,,0.494,
"  DISORIENTATION",1,1.2,1,0,,,0,,,0.999,0.999
"  IRRITABILITY",1,1.2,2,1,1.2,1,0,,,0.999,0.999
"  RESTLESSNESS",0,,,1,1.2,2,0,,,0.494,
,,,,,,,,,,,
"RENAL AND URINARY DISORDERS",4,4.7,5,3,3.6,3,3,3.6,4,0.999,0.999
"  CALCULUS URETHRAL",0,,,0,,,1,1.2,1,,0.494
"  MICTURITION URGENCY",1,1.2,1,1,1.2,1,1,1.2,2,0.999,0.999
"  NEPHROLITHIASIS",1,1.2,1,0,,,1,1.2,1,0.999,0.999
"  DYSURIA",1,1.2,1,1,1.2,1,0,,,0.999,0.999
"  INCONTINENCE",0,,,1,1.2,1,0,,,0.494,
"  POLLAKIURIA",1,1.2,2,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"REPRODUCTIVE SYSTEM AND BREAST DISORDERS",2,2.3,4,0,,,1,1.2,1,0.497,0.999
"  BENIGN PROSTATIC HYPERPLASIA",1,1.2,2,0,,,1,1.2,1,0.999,0.999
"  PELVIC PAIN",1,1.2,2,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",8,9.3,12,9,10.7,14,10,11.9,22,0.803,0.626
"  COUGH",1,1.2,1,5,6.0,7,5,6.0,7,0.115,0.115
"  NASAL CONGESTION",3,3.5,3,1,1.2,1,3,3.6,4,0.621,0.999
"  EPISTAXIS",0,,,1,1.2,1,2,2.4,2,0.494,0.243
"  ALLERGIC GRANULOMATOUS ANGIITIS",0,,,0,,,1,1.2,1,,0.494
"  DYSPNOEA",1,1.2,1,1,1.2,1,1,1.2,1,0.999,0.999
"  PHARYNGEAL ERYTHEMA",0,,,0,,,1,1.2,2,,0.494
"  PHARYNGOLARYNGEAL PAIN",0,,,1,1.2,1,1,1.2,1,0.494,0.494
"  PRODUCTIVE COUGH",0,,,0,,,1,1.2,1,,0.494
"  RESPIRATORY TRACT CONGESTION",0,,,0,,,1,1.2,1,,0.494
"  RHINORRHOEA",0,,,1,1.2,2,1,1.2,2,0.494,0.494
"  DYSPHONIA",0,,,1,1.2,1,0,,,0.494,
"  EMPHYSEMA",1,1.2,1,0,,,0,,,0.999,0.999
"  HAEMOPTYSIS",1,1.2,2,0,,,0,,,0.999,0.999
"  POSTNASAL DRIP",1,1.2,2,0,,,0,,,0.999,0.999
"  RALES",1,1.2,2,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"SKIN AND SUBCUTANEOUS TISSUE DISORDERS",20,23.3,45,39,46.4,111,40,47.6,104,0.002,0.001
"  PRURITUS",8,9.3,11,21,25.0,31,26,31.0,38,0.008,0.000
"  ERYTHEMA",8,9.3,12,14,16.7,22,14,16.7,22,0.175,0.175
"  RASH",5,5.8,9,13,15.5,18,9,10.7,15,0.048,0.277
"  HYPERHIDROSIS",2,2.3,2,4,4.8,5,8,9.5,10,0.441,0.056
"  SKIN IRRITATION",3,3.5,4,6,7.1,13,5,6.0,8,0.326,0.493
"  RASH PRURITIC",0,,,1,1.2,2,2,2.4,3,0.494,0.243
"  ACTINIC KERATOSIS",0,,,0,,,1,1.2,1,,0.494
"  BLISTER",0,,,5,6.0,8,1,1.2,2,0.028,0.494
"  PRURITUS GENERALISED",0,,,1,1.2,4,1,1.2,1,0.494,0.494
"  RASH MACULO-PAPULAR",0,,,0,,,1,1.2,1,,0.494
"  SKIN ODOUR ABNORMAL",0,,,0,,,1,1.2,1,,0.494
"  URTICARIA",0,,,1,1.2,3,1,1.2,2,0.494,0.494
"  ALOPECIA",1,1.2,1,0,,,0,,,0.999,0.999
"  COLD SWEAT",1,1.2,3,0,,,0,,,0.999,0.999
"  DERMATITIS CONTACT",0,,,1,1.2,2,0,,,0.494,
"  DRUG ERUPTION",1,1.2,1,0,,,0,,,0.999,0.999
"  RASH ERYTHEMATOUS",0,,,1,1.2,1,0,,,0.494,
"  SKIN EXFOLIATION",0,,,1,1.2,2,0,,,0.494,
"  SKIN ULCER",1,1.2,2,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"SOCIAL CIRCUMSTANCES",0,,,0,,,1,1.2,1,,0.494
"  ALCOHOL USE",0,,,0,,,1,1.2,1,,0.494
,,,,,,,,,,,
"SURGICAL AND MEDICAL PROCEDURES",2,,2,1,1.2,1,2,2.4,2,0.999,0.999
"  ACROCHORDON EXCISION",0,,,0,,,1,1.2,1,,0.494
"  SKIN LESION EXCISION",0,,,0,,,1,1.2,1,,0.494
"  CATARACT OPERATION",1,1.2,1,1,1.2,1,0,,,0.999,0.999
"  EYE LASER SURGERY",1,1.2,1,0,,,0,,,0.999,0.999
,,,,,,,,,,,
"VASCULAR DISORDERS",3,3.5,7,3,3.6,3,1,1.2,1,0.999,0.621
"  WOUND HAEMORRHAGE",0,,,0,,,1,1.2,1,,0.494
"  HOT FLUSH",0,,,1,1.2,1,0,,,0.494,
"  HYPERTENSION",1,1.2,2,1,1.2,1,0,,,0.999,0.999
"  HYPOTENSION",2,2.3,3,1,1.2,1,0,,,0.999,0.497
"  ORTHOSTATIC HYPOTENSION",1,1.2,2,0,,,0,,,0.999,0.999
